"Источник трафика","Источник трафика (детально)","Поисковая система","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Переходы из поисковых систем","Яндекс","Яндекс","зао тгт минск контактные данные","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","зао тгт минск официальный сайт","1","1","0.0","2.0","00:00:28"
"Переходы из поисковых систем","Яндекс","Яндекс","зао тгт минск прибыль","1","1","0.0","2.0","00:01:04"
"Переходы из поисковых систем","Яндекс","Яндекс","зао тгт спортивная одежда рб","1","1","0.0","2.0","00:00:38"
"Переходы из поисковых систем","Яндекс","Яндекс","зао тгт электронная почта","1","1","0.0","1.0","00:00:09"
"Переходы из поисковых систем","Яндекс","Яндекс","зао тгэт","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","зимняя спортивная экипировка","1","1","0.0","2.0","00:00:28"
"Переходы из поисковых систем","Яндекс","Яндекс","интернет магазины спорттоваров минск","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","келме шорты вратарские","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кельме 8251zb1003-603","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","кельме 9893020-416","1","1","0.0","2.0","00:12:17"
"Переходы из поисковых систем","Яндекс","Яндекс","кельме спортивный костюм футбольный детский","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кельме тгт","1","1","0.0","26.0","00:41:08"
"Переходы из поисковых систем","Яндекс","Яндекс","кельми на дзержинского","1","1","0.0","9.0","00:35:29"
"Переходы из поисковых систем","Яндекс","Яндекс","компания fn спортивная обувь","1","1","0.0","2.0","00:00:04"
"Переходы из поисковых систем","Яндекс","Яндекс","компания тгт","1","1","0.0","2.0","00:00:11"
"Переходы из поисковых систем","Яндекс","Яндекс","компания тгт бренды одежды","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","комплект анорак женский салатовый","1","1","0.0","3.0","00:00:57"
"Переходы из поисковых систем","Яндекс","Яндекс","комплект формы для соревнованій по легкой атлетике с белорусской сімволікой","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","комплект футбольной формы sx energy black blue","1","1","0.0","3.0","00:01:01"
"Переходы из поисковых систем","Яндекс","Яндекс","костюм реал мадрид купить минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","костюм спортивный dynamic","1","1","0.0","8.0","00:06:45"
"Переходы из поисковых систем","Яндекс","Яндекс","костюм спортивный dynamic женский в минске купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кофта (толстовка) kelme t70611001.611","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки fn distor white артикул:fn5021012-103","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки fn edge","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки kelme barcelona 46949-9402 купить в беларуси","1","1","0.0","2.0","00:01:18"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки kelme barcelona купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки kelme men's training shoes","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки omaha 17818","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки xx60015005","1","1","0.0","4.0","00:01:23"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки баскетбольные детские купить","1","1","0.0","4.0","00:02:18"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки гандбол","1","1","0.0","2.0","00:00:34"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки гандбольные купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки для бадминтона купить минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки для бадминтона минск","1","1","0.0","3.0","00:00:58"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки для бадминтона мужские","1","1","0.0","4.0","00:14:11"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки для баскетбола минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки для гандбола купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить анорак мужской весна осень","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бандану витебск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить баскетбольные кроссовки в беларуси","1","1","0.0","4.0","00:00:59"
"Переходы из поисковых систем","Яндекс","Яндекс","купить баскетбольные кроссовки в беларуси оригинал мужские","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить баскетбольные кроссовки в минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить беговые шиповки в минске","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","купить беговые шиповки для легкой атлетики в беларуси","1","1","0.0","3.0","00:01:39"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бомбер рб","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бомбера на тролинг до 6м","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить борцовки в беларуси","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить борцовки минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бутсы","1","1","0.0","2.0","00:04:20"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бутсы 39 размер","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бутсы ag","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бутсы mg в витебске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бутсы бу футбольные","1","1","0.0","3.0","00:01:09"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бутсы в беларуси футбольные профессиональные","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бутсы в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить в минске барьеры пластмассовые регулируемые","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","купить в минске кроссовки для гандбола большого размера","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить ветровку в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить волейбольную форму шорты и майка","1","1","0.0","7.0","00:01:11"
"Переходы из поисковых систем","Яндекс","Яндекс","купить вратарские перчатки для футбола в минске","1","1","0.0","11.0","00:01:28"
"Переходы из поисковых систем","Яндекс","Яндекс","купить детские волейбольные/ гандбольные кроссовки shoes kid","1","1","0.0","6.0","00:02:09"
"Переходы из поисковых систем","Яндекс","Яндекс","купить детскую форму реал мадрид в минске","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","купить дёшево куртку бомбер зима в беларуси","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить кожаные бутсы в беларуси","1","1","0.0","3.0","00:01:15"
"Переходы из поисковых систем","Яндекс","Яндекс","купить комуфляжную зелёно пятнистую мужскую асенюю ветровку куртку в белорусии в 2024году с доставкой фото и цэна","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","купить костюм велосипедный кельме","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить костюм спортивный vendetta в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить кроссовки баскетбольные","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить кроссовки детские гандбольные","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить кроссовки для баскетбола","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить кроссовки для волейбола и гандбола в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить кроссовки для гандбола в минске","1","1","0.0","2.0","00:12:38"
"Переходы из поисковых систем","Яндекс","Яндекс","купить лонгслив kelme","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить мешок для спортивной формы и обуви беларусь с доставкой","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","купить мешок рюкзак для спорта 66*47","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить мужскую олимпийку","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить мяч fifa quality pro","1","1","0.0","2.0","00:00:23"
"Переходы из поисковых систем","Яндекс","Яндекс","купить олимпийку минск","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","купить олимпийку мужскую в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить олимпийку хб","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","купить перчатки в минске вратарские детские","1","1","0.0","3.0","00:01:44"
"Переходы из поисковых систем","Яндекс","Яндекс","купить пуховик fn в минске","1","1","0.0","1.0","00:00:13"
"Переходы из поисковых систем","Яндекс","Яндекс","купить снуд для спорта мужской зимний","1","1","0.0","13.0","00:07:24"
"Переходы из поисковых систем","Яндекс","Яндекс","купить снуд спортивный","1","1","0.0","4.0","00:01:04"
"Переходы из поисковых систем","Яндекс","Яндекс","купить спортивное снаряжение минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить спортивную лёгкую мужскую ветровку в пинске","1","1","0.0","2.0","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","купить спортивную шапку в минске","1","1","0.0","3.0","00:00:40"
"Переходы из поисковых систем","Яндекс","Яндекс","купить спортивный пуховик","1","1","0.0","3.0","00:02:28"
"Переходы из поисковых систем","Яндекс","Яндекс","купить судейскую форму для футбола","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","купить ферари костюм в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить форму fn","1","1","0.0","16.0","00:05:12"
"Переходы из поисковых систем","Яндекс","Яндекс","купить форму волейбольную в беларуси","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить форму вратаря в минске","1","1","0.0","1.0","00:00:12"
"Переходы из поисковых систем","Яндекс","Яндекс","купить форму для волейбола","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить форму игровую гандбол волейбол","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить форму реал мадрид без фамилии в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить форму реал мадрид минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить форму реала в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футбольную форму буффона в минске","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футбольную форму в беларуси егель","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футбольную форму для мальчика буффон в рб","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футбольную форму ценами в минске","1","1","0.0","1.0","00:00:14"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футбольную формуfn4261014-055","1","1","0.0","3.0","00:00:24"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футбольные фишки для тренировок в минске","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футбольные шорты kelme в минске","1","1","0.0","2.0","00:00:44"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футзалки","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футзалки joma 46 разм=ер","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футзалки беларусь","1","1","0.0","13.0","00:03:23"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футзалки в минске","1","1","0.0","4.0","00:01:26"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футзалки минск","1","1","0.0","4.0","00:00:13"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футзалки мужские","1","1","0.0","9.0","00:06:46"
"Переходы из поисковых систем","Яндекс","Яндекс","купить шиповки для пожарно-прикладного спорта в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить шорты вратарские футбольные детские","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","купить щитки для футбола размер xs купить минск","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","купить щитки футбольные витебск","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","купить экипировку гандбольную","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить экипировку для футбола","1","1","0.0","4.0","00:09:02"
"Переходы из поисковых систем","Яндекс","Яндекс","купить+в+минске+недорого+детское+термобельё","1","1","0.0","2.0","00:00:22"
"Переходы из поисковых систем","Яндекс","Яндекс","купить+очень+легкую+ветровку+спортивную++в+минске+","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","куртка delete","1","1","0.0","5.0","00:01:39"
"Переходы из поисковых систем","Яндекс","Яндекс","куртка kelme model 6347yr1007","1","1","0.0","2.0","00:09:45"
"Переходы из поисковых систем","Яндекс","Яндекс","куртка padding jacket fn 4201001-100","1","1","0.0","2.0","00:04:27"
"Переходы из поисковых систем","Яндекс","Яндекс","куртка артикул kfn4201001-424","1","1","0.0","2.0","00:00:22"
"Переходы из поисковых систем","Яндекс","Яндекс","куртки мужские демисезон купить в минсе","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","куртки мужские демисезонные купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","легкоатлетическая форма kelme women's track suit синий 8153qb2001-481","1","1","0.0","1.0","00:00:39"
"Переходы из поисковых систем","Яндекс","Яндекс","лесенка координационная купить минск","1","1","0.0","4.0","00:30:32"
"Переходы из поисковых систем","Яндекс","Яндекс","лестница для бокса на полу","1","1","0.0","3.0","00:01:04"
"Переходы из поисковых систем","Яндекс","Яндекс","лонгслив дживово минск","1","1","0.0","3.0","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","лупить борцовки в гродно","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин баскетбольных кроссовок","1","1","0.0","1.0","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин бутс в минске","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин бутс на проспекте дзержинского","1","1","0.0","1.0","00:00:14"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин бутсы для футбола на динамо","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин китайской атрибутики минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин спортивного профессионального экипировки","1","1","0.0","1.0","00:00:20"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин спортивной амуниции в минске","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин спортивной одежды минск","1","1","0.0","3.0","00:05:21"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин спортивной экипировки минск","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин спортивных товаров в минске","1","1","0.0","5.0","00:01:04"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин футбольной формы в минске","1","1","0.0","3.0","00:00:44"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин футбольной экипировки для детей","1","1","0.0","20.0","00:08:31"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин футбольной экипировки минск","1","1","0.0","1.0","00:00:09"
"Переходы из поисковых систем","Яндекс","Яндекс","майка вратарская футбольная","1","1","0.0","3.0","00:12:51"
"Переходы из поисковых систем","Яндекс","Яндекс","майка кельме желтая","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","майка реал мадрид купить беларусь","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","майки для легкой атлетики","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","майки келме минск","1","1","0.0","2.0","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","майки спортивные оптом минма","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","мальчики спортивная форма","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","манекен для дзюдо купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","манекен тренировочный","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","манишки спортивные купить минск","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","манишки футбольные купить","1","1","0.0","2.0","00:00:46"
"Переходы из поисковых систем","Яндекс","Яндекс","мини-барьеры тренировочные","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","минск проспект дзержинского 90 тгт","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","минск тгт","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","мужской бомбер в беларуси купить","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","мяч leather football","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","мяч волейбольный термосклейка","1","1","0.0","2.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","мяч футбольный ручная сшивка минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","мяч футбольный термосклейка купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","набивка на футбольную форму нанесение логотипа на темерязево","1","1","0.0","2.0","00:00:09"
"Переходы из поисковых систем","Яндекс","Яндекс","набить номер на шорты","1","1","0.0","3.0","00:00:47"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение логотипа и номера на форму","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение логотипа на форму","1","1","0.0","3.0","00:01:30"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение на форму номеров и фамилии","1","1","0.0","2.0","00:00:26"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение на форму футбольную","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение принта на футболку минск футболиску","1","1","0.0","4.0","00:00:45"
"Переходы из поисковых систем","Яндекс","Яндекс","низкие барьеры купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","новая форма реал мадрид цена беларусь","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","ножницы для разрезания повязок купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","носки fn swift","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь 17170-107 yosemitsu","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь kelme размерная сетка","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь борцовки купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь для бадминтона","1","1","0.0","2.0","00:01:27"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь для бадминтона купить","1","1","0.0","3.0","00:00:21"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь для баскетбола купить в минске","1","1","0.0","7.0","00:01:39"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь для гандбола купить","1","1","0.0","2.0","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь специальная для легкой атлетики в беларуси","1","1","0.0","2.0","00:00:32"
"Переходы из поисковых систем","Яндекс","Яндекс","одежда для спортсменов минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","олимпийка минск","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","олимпийка мужская минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","перчатки для футзала fn минск","1","1","0.0","2.0","00:03:40"
"Переходы из поисковых систем","Яндекс","Яндекс","поставщик и производитель тэйпы в минске","1","1","0.0","2.0","00:00:39"
"Переходы из поисковых систем","Яндекс","Яндекс","пр-т дзержинского, д. 90, пом. 427","1","1","0.0","1.0","00:00:11"
"Переходы из поисковых систем","Яндекс","Яндекс","приклеить номер на одежду футбол минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","продукция зао ""тгт""","1","1","0.0","3.0","00:05:53"
"Переходы из поисковых систем","Яндекс","Яндекс","проф спорт минск центр экипировки","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","профессиональная сетка для футбольных ворот купить в беларуси цена","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","профессиональные вратарские перчатки купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик fn белый","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик fn для мужчин купить в минске","1","1","0.0","2.0","00:00:05"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик kelme padding jacket","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик kelme длинный мужской","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик в минске зелёный","1","1","1.0","1.0","00:00:02"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик венгера купить в минске","1","1","0.0","5.0","00:02:57"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик детский fn padding jacket kid black","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","размер кроссовок fn","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","размер одежды кельми какой рост","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","размерный ряд kelme","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","райо вальекано купить одежду","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","реал мадрид минске купить форму реала","1","1","0.0","2.0","00:00:12"
"Переходы из поисковых систем","Яндекс","Яндекс","реал мадрид форма купить минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","рукав спортивный купить","1","1","0.0","5.0","00:01:08"
"Переходы из поисковых систем","Яндекс","Яндекс","рэперские пуховики купить","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","рюкзак fn backpack купить беларусь","1","1","0.0","2.0","00:00:06"
"Переходы из поисковых систем","Яндекс","Яндекс","рюкзак мешок купить минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","рюкзак спортивный kelme backpack uni / 9893020-003 (черный)","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","рюкзак спортивный kelme backpack uni / 9893020-416","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","рюкзак спортивный kelme leisure sports черный","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","с тгт","1","1","0.0","18.0","00:02:33"
"Переходы из поисковых систем","Яндекс","Яндекс","сайт s-tgt.by","1","1","0.0","7.0","00:01:38"
"Переходы из поисковых систем","Яндекс","Яндекс","синий костюм fn dynamic","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","снуд мужской купить дана молл","1","1","0.0","2.0","00:00:28"
"Переходы из поисковых систем","Яндекс","Яндекс","сороконожки для футбола eagle tf","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","спорт стайл","1","1","0.0","2.0","00:00:28"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная майка мужская","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная обувь","1","1","0.0","14.0","00:14:46"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная одежда ctaft минск","1","1","0.0","3.0","00:00:58"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная одежда беларусь","1","1","0.0","7.0","00:03:15"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная одежда в рб","1","1","0.0","2.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная повязка на голову купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная сумка kelme small training bag, артикул 94962-130","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная экипировка","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная экипировка беларусь купить в минске","1","1","0.0","3.0","00:00:36"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная экипировка купить","1","1","0.0","3.0","00:02:31"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные барьеры купить в минске","1","1","0.0","2.0","00:18:44"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные ветровки","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные жилетки","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные жилетки минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные жилеты дженова минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные магазины","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные магазины беларусь","1","1","0.0","2.0","00:03:26"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные магазины минск в минске","1","1","0.0","2.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные магазины одежды","1","1","0.0","6.0","00:02:04"
